Time,Coverage
14970,17719870
14980,17731167
14990,17742702
15000,17753962
15010,17765242
15020,17776476
15030,17787658
15040,17798854
15050,17809985
15060,17821091
15070,17832608
15080,17843981
15090,17855238
15100,17866630
15110,17877821
15120,17889024
15130,17900239
15140,17911630
15150,17922937
15160,17934172
15170,17945414
15180,17956817
15190,17968048
15200,17979148
15210,17990314
15220,18001424
15230,18012663
15240,18023903
15250,18035195
15260,18046521
15270,18057791
15280,18068993
15290,18080200
15300,18091616
15310,18102838
15320,18114079
15330,18125291
15340,18136566
15350,18147798
15360,18158930
15370,18170292
15380,18181741
15390,18193061
15400,18204374
15410,18215772
15420,18227128
15430,18238118
15440,18249490
15450,18260935
15460,18272035
15470,18283235
15480,18294417
15490,18305806
15500,18317162
15510,18328558
15520,18339986
15530,18351233
15540,18362424
15550,18373684
15560,18384954
15570,18396149
15580,18407471
15590,18418726
15600,18430027
15610,18441353
15620,18452651
15630,18463907
15640,18475100
15650,18486272
15660,18497494
15670,18508734
15680,18519881
15690,18531147
15700,18542512
15710,18553883
15720,18565031
15730,18576312
15740,18587650
15750,18599143
15760,18610558
15770,18621800
15780,18633213
15790,18644500
15800,18655542
15810,18666748
15820,18678071
15830,18689480
15840,18700651
15850,18711925
15860,18723249
15870,18734484
15880,18745817
15890,18756883
15900,18768282
15910,18779609
15920,18790911
15930,18802075
15940,18813223
15950,18824563
15960,18835690
15970,18846926
15980,18857949
15990,18869287
16000,18880796
16010,18892296
16020,18903406
16030,18914647
16040,18925831
16050,18937115
16060,18948484
16070,18960003
16080,18971398
16090,18982596
16100,18993755
16110,19005030
16120,19016121
16130,19027452
16140,19038772
16150,19050093
16160,19061441
16170,19072712
16180,19083902
16190,19095127
16200,19106160
16210,19117393
16220,19128656
16230,19140014
16240,19151245
16250,19162488
16260,19173750
16270,19185264
16280,19196567
16290,19207737
16300,19218851
16310,19230253
16320,19241571
16330,19252906
16340,19264483
16350,19275960
16360,19287288
16370,19298636
16380,19310213
16390,19321669
16400,19332867
16410,19344002
16420,19355062
16430,19366399
16440,19377735
16450,19389115
16460,19400383
16470,19411674
16480,19422721
16490,19433888
16500,19445145
16510,19456418
16520,19467760
16530,19479085
16540,19490570
16550,19501860
16560,19513019
16570,19524462
16580,19535863
16590,19547251
16600,19558563
16610,19569817
16620,19581173
16630,19592602
16640,19603924
16650,19615262
16660,19626399
16670,19637729
16680,19649138
16690,19660242
16700,19671349
16710,19682581
16720,19693764
16730,19705103
16740,19716318
16750,19727421
16760,19738718
16770,19749963
16780,19760999
16790,19772172
16800,19783291
16810,19794582
16820,19806027
16830,19817407
16840,19828506
16850,19839644
16860,19850874
16870,19862299
16880,19873795
16890,19884939
16900,19896252
16910,19907538
16920,19918599
16930,19929907
16940,19941188
16950,19952469
16960,19963715
16970,19974986
16980,19986274
16990,19997511
17000,20008737
17010,20019936
17020,20031071
17030,20041922
17040,20053239
17050,20064651
17060,20075968
17070,20087355
17080,20098712
17090,20110224
17100,20121526
17110,20132875
17120,20143949
17130,20155271
17140,20166499
17150,20177881
17160,20189232
17170,20200599
17180,20211830
17190,20223354
17200,20234698
17210,20246160
17220,20257576
17230,20268951
17240,20280183
17250,20291694
17260,20303282
17270,20314756
17280,20325951
17290,20337343
17300,20348668
17310,20359865
17320,20371105
17330,20382453
17340,20393866
17350,20405054
17360,20416449
17370,20427870
17380,20439174
17390,20450594
17400,20462018
17410,20473411
17420,20484804
17430,20496094
17440,20507468
17450,20518921
17460,20530345
17470,20541745
17480,20552986
17490,20564276
17500,20575533
17510,20586782
17520,20597977
17530,20609326
17540,20620550
17550,20632054
17560,20643427
17570,20654693
17580,20665812
17590,20677187
17600,20688522
17610,20699542
17620,20710634
17630,20721912
