Time,Coverage,Density,Rate(ins),Rate(per),Rate(avg)
2330,1996489,1.48,805,31.60,856,33.51
2340,2004322,1.48,783,29.91,856,33.50
2350,2011764,1.49,744,31.13,856,33.49
2360,2019861,1.49,809,34.88,855,33.49
2370,2026093,1.50,623,28.13,854,33.47
2380,2033320,1.50,722,31.37,854,33.46
2390,2041191,1.51,787,29.80,854,33.45
2400,2047798,1.51,660,27.94,853,33.43
2410,2055910,1.52,811,32.44,853,33.42
2420,2062252,1.52,634,24.67,852,33.39
2430,2069963,1.53,771,29.29,851,33.37
2440,2077804,1.54,784,29.84,851,33.35
2450,2084838,1.54,703,26.92,850,33.33
2460,2091421,1.55,658,26.68,850,33.30
2470,2096261,1.55,484,31.68,848,33.30
2480,2104059,1.56,779,29.02,848,33.28
2490,2111942,1.56,788,29.68,848,33.26
2500,2121813,1.57,987,40.50,848,33.29
2510,2129350,1.57,753,28.83,848,33.27
2520,2137300,1.58,795,31.32,848,33.27
2530,2143909,1.58,660,29.45,847,33.25
2540,2151083,1.59,717,42.74,846,33.28
2550,2159757,1.60,867,34.27,846,33.28
2560,2167808,1.60,805,33.11,846,33.28
2570,2174870,1.61,706,26.79,846,33.25
2580,2180690,1.61,582,23.63,845,33.22
2590,2188387,1.62,769,29.22,844,33.20
2600,2197062,1.62,867,33.36,845,33.20
2610,2202555,1.63,549,21.49,843,33.16
2620,2209806,1.63,725,28.85,843,33.14
2630,2217253,1.64,744,43.14,843,33.17
2640,2224547,1.64,729,27.61,842,33.15
2650,2230602,1.65,605,25.37,841,33.12
2660,2236801,1.65,619,23.55,840,33.08
2670,2244298,1.66,749,29.80,840,33.07
2680,2252215,1.66,791,32.28,840,33.07
2690,2260070,1.67,785,30.23,840,33.05
2700,2266591,1.67,652,31.13,839,33.05
2710,2273961,1.68,737,27.59,839,33.03
2720,2281454,1.69,749,28.78,838,33.01
2730,2283683,1.69,222,32.22,836,33.01
2740,2284938,1.69,125,22.26,833,33.00
2750,2291694,1.69,675,27.88,833,32.98
2760,2298506,1.70,681,26.74,832,32.96
2770,2304724,1.70,621,29.03,832,32.95
2780,2312060,1.71,733,28.81,831,32.93
2790,2319776,1.71,771,29.44,831,32.92
2800,2327142,1.72,736,27.77,831,32.90
2810,2335549,1.73,840,32.53,831,32.90
2820,2342403,1.73,685,28.05,830,32.88
2830,2349232,1.74,682,26.37,830,32.86
2840,2356591,1.74,735,27.96,829,32.84
2850,2363684,1.75,709,27.75,829,32.82
2860,2371003,1.75,731,28.94,829,32.81
2870,2377919,1.76,691,29.16,828,32.80
2880,2385020,1.76,710,29.40,828,32.79
2890,2392304,1.77,728,27.81,827,32.77
2900,2399337,1.77,703,26.63,827,32.75
2910,2404781,1.78,544,20.21,826,32.70
2920,2411696,1.78,691,27.60,825,32.68
2930,2418495,1.79,679,26.17,825,32.66
2940,2423968,1.79,547,27.16,824,32.65
2950,2431293,1.80,732,29.00,824,32.63
2960,2436948,1.80,565,26.58,823,32.62
2970,2441025,1.80,407,15.95,821,32.56
2980,2447797,1.81,677,25.18,821,32.53
2990,2454576,1.81,677,26.26,820,32.51
3000,2460709,1.82,613,23.03,820,32.48
3010,2467592,1.82,688,26.62,819,32.46
3020,2475396,1.83,780,30.08,819,32.45
3030,2482806,1.83,741,28.62,819,32.44
3040,2489079,1.84,627,30.65,818,32.43
3050,2496372,1.84,729,26.73,818,32.41
3060,2502304,1.85,593,22.17,817,32.38
3070,2508194,1.85,589,23.51,817,32.35
3080,2515825,1.86,763,29.17,816,32.34
3090,2522290,1.86,646,27.79,816,32.32
3100,2529927,1.87,763,29.36,816,32.31
3110,2536992,1.87,706,29.05,815,32.30
3120,2542678,1.88,568,23.60,814,32.28
3130,2549467,1.88,678,25.34,814,32.25
3140,2556120,1.89,665,25.27,814,32.23
3150,2563981,1.89,786,30.08,813,32.22
3160,2571425,1.90,744,31.29,813,32.22
3170,2578568,1.90,714,26.71,813,32.20
3180,2584189,1.91,562,27.62,812,32.19
3190,2591257,1.91,706,26.44,812,32.17
3200,2597797,1.92,654,25.24,811,32.15
3210,2605436,1.92,763,28.89,811,32.14
3220,2613107,1.93,767,29.43,811,32.13
3230,2620614,1.93,750,28.70,811,32.12
3240,2627664,1.94,705,34.16,811,32.13
3250,2633959,1.94,629,25.86,810,32.11
3260,2639463,1.95,550,25.04,809,32.09
3270,2645494,1.95,603,23.02,809,32.06
3280,2652281,1.96,678,26.93,808,32.04
3290,2658900,1.96,661,26.77,808,32.03
3300,2665484,1.97,658,25.11,807,32.01
3310,2671607,1.97,612,23.26,807,31.98
3320,2679539,1.98,793,31.59,807,31.98
3330,2685683,1.98,614,24.03,806,31.95
3340,2692278,1.99,659,25.80,806,31.93
3350,2698947,1.99,666,25.09,805,31.91
3360,2705526,2.00,657,25.86,805,31.89
3370,2712416,2.00,689,26.26,804,31.88
3380,2722945,2.01,1052,40.33,805,31.90
3390,2732635,2.02,969,37.43,806,31.92
3400,2739039,2.02,640,24.70,805,31.90
3410,2748548,2.03,950,41.85,806,31.92
3420,2756013,2.03,746,28.78,805,31.91
3430,2762745,2.04,673,25.81,805,31.90
3440,2768728,2.04,598,23.95,804,31.87
3450,2774844,2.05,611,24.29,804,31.85
3460,2781340,2.05,649,27.60,803,31.84
3470,2789624,2.06,828,31.46,803,31.84
3480,2796754,2.06,713,26.96,803,31.82
3490,2804394,2.07,764,28.81,803,31.82
3500,2811826,2.07,743,29.23,803,31.81
3510,2819529,2.08,770,29.92,803,31.80
3520,2826427,2.08,689,27.79,802,31.79
3530,2833358,2.09,693,27.02,802,31.78
3540,2838705,2.09,534,22.13,801,31.75
3550,2845682,2.10,697,26.72,801,31.74
3560,2852984,2.10,730,30.39,801,31.73
3570,2859500,2.11,651,24.51,800,31.71
3580,2866120,2.11,662,25.11,800,31.69
3590,2873154,2.12,703,28.65,800,31.68
3600,2880270,2.12,711,27.40,800,31.67
3610,2887489,2.13,721,27.97,799,31.66
3620,2893767,2.13,627,24.77,799,31.64
3630,2901758,2.14,799,30.66,799,31.64
3640,2909029,2.14,727,28.19,799,31.63
3650,2915450,2.15,642,24.98,798,31.61
3660,2923620,2.15,817,32.60,798,31.61
3670,2930511,2.16,689,29.44,798,31.61
3680,2936899,2.16,638,25.58,798,31.59
3690,2944285,2.17,738,29.10,797,31.59
3700,2951132,2.17,684,28.27,797,31.58
3710,2956837,2.18,570,25.98,796,31.56
3720,2962730,2.18,589,22.33,796,31.54
3730,2969721,2.19,699,26.52,796,31.52
3740,2977112,2.19,739,28.36,796,31.52
3750,2983759,2.20,664,26.84,795,31.50
3760,2990731,2.20,697,27.38,795,31.49
3770,2996852,2.21,612,23.69,794,31.47
3780,3003542,2.21,669,26.19,794,31.46
3790,3010594,2.22,705,26.99,794,31.44
3800,3016687,2.22,609,24.41,793,31.43
3810,3023247,2.23,656,25.40,793,31.41
3820,3030273,2.23,702,27.57,793,31.40
3830,3035908,2.24,563,25.18,792,31.39
3840,3042858,2.24,695,25.89,792,31.37
3850,3050742,2.25,788,30.95,792,31.37
3860,3057302,2.25,656,25.36,792,31.35
3870,3064481,2.26,717,27.83,791,31.34
3880,3076572,2.27,1209,50.02,792,31.39
3890,3085042,2.27,847,35.36,793,31.40
3900,3091673,2.28,663,25.16,792,31.38
3910,3098015,2.28,634,24.69,792,31.37
3920,3105247,2.29,723,28.09,792,31.36
3930,3112161,2.29,691,26.84,791,31.35
3940,3118545,2.30,638,24.63,791,31.33
3950,3125197,2.30,665,27.33,791,31.32
3960,3132415,2.31,721,27.69,791,31.31
3970,3138992,2.31,657,24.88,790,31.29
3980,3145351,2.32,635,24.26,790,31.27
3990,3151009,2.32,565,26.03,789,31.26
4000,3157626,2.33,661,25.29,789,31.25
4010,3164744,2.33,711,26.95,789,31.24
4020,3170953,2.33,620,23.61,788,31.22
4030,3177302,2.34,634,24.86,788,31.20
4040,3183878,2.34,657,27.23,788,31.19
4050,3190735,2.35,685,25.71,787,31.18
4060,3197506,2.35,677,25.92,787,31.16
4070,3204708,2.36,720,28.35,787,31.16
4080,3211836,2.36,712,27.73,787,31.15
4090,3217685,2.37,584,22.00,786,31.12
4100,3223682,2.37,599,23.32,786,31.10
4110,3231971,2.38,828,31.93,786,31.11
4120,3239110,2.38,713,29.85,786,31.10
4130,3245183,2.39,607,23.99,785,31.09
4140,3251646,2.39,646,26.15,785,31.07
4150,3258861,2.40,721,27.59,785,31.07
4160,3265955,2.40,709,27.71,785,31.06
4170,3273914,2.41,795,30.75,785,31.06
4180,3281281,2.42,736,28.09,784,31.05
4190,3287323,2.42,604,24.68,784,31.03
4200,3295032,2.43,770,29.59,784,31.03
4210,3302096,2.43,706,27.79,784,31.02
4220,3309386,2.44,729,28.13,784,31.02
4230,3315606,2.44,622,24.44,783,31.00
4240,3321039,2.44,543,22.86,783,30.98
4250,3326406,2.45,536,20.72,782,30.96
4260,3331691,2.45,528,20.48,782,30.93
4270,3337501,2.46,581,22.07,781,30.91
4280,3344018,2.46,651,25.40,781,30.90
4290,3350675,2.47,665,25.95,781,30.89
4300,3358130,2.47,745,29.96,780,30.88
4310,3364242,2.48,611,23.21,780,30.87
4320,3369416,2.48,517,21.49,779,30.85
4330,3375923,2.48,650,26.55,779,30.84
4340,3383520,2.49,759,29.57,779,30.83
4350,3390557,2.49,703,27.38,779,30.82
4360,3397160,2.50,660,25.73,779,30.81
4370,3403939,2.50,677,26.15,778,30.80
4380,3410860,2.51,692,27.11,778,30.79
4390,3418813,2.52,795,30.84,778,30.79
4400,3424818,2.52,600,22.67,778,30.77
4410,3431197,2.52,637,25.13,778,30.76
4420,3436386,2.53,518,19.58,777,30.73
4430,3444002,2.53,761,29.18,777,30.73
4440,3450791,2.54,678,27.03,777,30.72
4450,3456733,2.54,594,23.59,776,30.71
4460,3463488,2.55,675,25.66,776,30.69
4470,3471107,2.55,761,29.31,776,30.69
4480,3478342,2.56,723,28.57,776,30.69
4490,3485310,2.56,696,30.03,776,30.69
4500,3490685,2.57,537,25.70,775,30.68
4510,3497760,2.57,707,27.41,775,30.67
4520,3505361,2.58,760,28.94,775,30.67
